x_utm,y_utm,value
347182.43313307303,5810395.006805061,
347192.43313307303,5810395.006805061,
347202.43313307303,5810395.006805061,
347212.43313307303,5810395.006805061,
347222.43313307303,5810395.006805061,
347232.43313307303,5810395.006805061,
347242.43313307303,5810395.006805061,
347252.43313307303,5810395.006805061,
347262.43313307303,5810395.006805061,
347272.43313307303,5810395.006805061,
347282.43313307303,5810395.006805061,
347292.43313307303,5810395.006805061,
347302.43313307303,5810395.006805061,
347312.43313307303,5810395.006805061,
347322.43313307303,5810395.006805061,
347332.43313307303,5810395.006805061,
347342.43313307303,5810395.006805061,
347182.43313307303,5810385.006805061,
347192.43313307303,5810385.006805061,
347202.43313307303,5810385.006805061,
347212.43313307303,5810385.006805061,
347222.43313307303,5810385.006805061,
347232.43313307303,5810385.006805061,
347242.43313307303,5810385.006805061,
347252.43313307303,5810385.006805061,
347262.43313307303,5810385.006805061,
347272.43313307303,5810385.006805061,
347282.43313307303,5810385.006805061,
347292.43313307303,5810385.006805061,
347302.43313307303,5810385.006805061,
347312.43313307303,5810385.006805061,
347322.43313307303,5810385.006805061,
347332.43313307303,5810385.006805061,
347342.43313307303,5810385.006805061,
347182.43313307303,5810375.006805061,
347192.43313307303,5810375.006805061,
347202.43313307303,5810375.006805061,
347212.43313307303,5810375.006805061,
347222.43313307303,5810375.006805061,
347232.43313307303,5810375.006805061,
347242.43313307303,5810375.006805061,
347252.43313307303,5810375.006805061,
347262.43313307303,5810375.006805061,
347272.43313307303,5810375.006805061,
347282.43313307303,5810375.006805061,
347292.43313307303,5810375.006805061,
347302.43313307303,5810375.006805061,
347312.43313307303,5810375.006805061,
347322.43313307303,5810375.006805061,
347332.43313307303,5810375.006805061,
347182.43313307303,5810365.006805061,
347192.43313307303,5810365.006805061,
347202.43313307303,5810365.006805061,
347212.43313307303,5810365.006805061,
347222.43313307303,5810365.006805061,
347232.43313307303,5810365.006805061,
347242.43313307303,5810365.006805061,
347252.43313307303,5810365.006805061,
347262.43313307303,5810365.006805061,
347272.43313307303,5810365.006805061,
347282.43313307303,5810365.006805061,
347292.43313307303,5810365.006805061,
347302.43313307303,5810365.006805061,
347312.43313307303,5810365.006805061,
347322.43313307303,5810365.006805061,
347332.43313307303,5810365.006805061,
347182.43313307303,5810355.006805061,
347192.43313307303,5810355.006805061,
347202.43313307303,5810355.006805061,
347212.43313307303,5810355.006805061,
347222.43313307303,5810355.006805061,
347232.43313307303,5810355.006805061,
347242.43313307303,5810355.006805061,
347252.43313307303,5810355.006805061,
347262.43313307303,5810355.006805061,
347272.43313307303,5810355.006805061,
347282.43313307303,5810355.006805061,
347292.43313307303,5810355.006805061,
347302.43313307303,5810355.006805061,
347312.43313307303,5810355.006805061,
347322.43313307303,5810355.006805061,
347332.43313307303,5810355.006805061,
347182.43313307303,5810345.006805061,
347192.43313307303,5810345.006805061,
347202.43313307303,5810345.006805061,
347212.43313307303,5810345.006805061,
347222.43313307303,5810345.006805061,
347232.43313307303,5810345.006805061,
347242.43313307303,5810345.006805061,
347252.43313307303,5810345.006805061,
347262.43313307303,5810345.006805061,
347272.43313307303,5810345.006805061,
347282.43313307303,5810345.006805061,
347292.43313307303,5810345.006805061,
347302.43313307303,5810345.006805061,
347312.43313307303,5810345.006805061,
347322.43313307303,5810345.006805061,
347182.43313307303,5810335.006805061,
347192.43313307303,5810335.006805061,
347202.43313307303,5810335.006805061,
347212.43313307303,5810335.006805061,
347222.43313307303,5810335.006805061,
347232.43313307303,5810335.006805061,
347242.43313307303,5810335.006805061,
347252.43313307303,5810335.006805061,
347262.43313307303,5810335.006805061,
347272.43313307303,5810335.006805061,
347282.43313307303,5810335.006805061,
347292.43313307303,5810335.006805061,
347302.43313307303,5810335.006805061,
347312.43313307303,5810335.006805061,
347322.43313307303,5810335.006805061,
347182.43313307303,5810325.006805061,
347192.43313307303,5810325.006805061,
347202.43313307303,5810325.006805061,
347212.43313307303,5810325.006805061,
347222.43313307303,5810325.006805061,
347232.43313307303,5810325.006805061,
347242.43313307303,5810325.006805061,
347252.43313307303,5810325.006805061,
347262.43313307303,5810325.006805061,
347272.43313307303,5810325.006805061,
347282.43313307303,5810325.006805061,
347292.43313307303,5810325.006805061,
347302.43313307303,5810325.006805061,
347312.43313307303,5810325.006805061,
347182.43313307303,5810315.006805061,
347192.43313307303,5810315.006805061,
347202.43313307303,5810315.006805061,
347212.43313307303,5810315.006805061,
347222.43313307303,5810315.006805061,
347232.43313307303,5810315.006805061,
347242.43313307303,5810315.006805061,
347252.43313307303,5810315.006805061,
347262.43313307303,5810315.006805061,
347272.43313307303,5810315.006805061,
347282.43313307303,5810315.006805061,
347292.43313307303,5810315.006805061,
347302.43313307303,5810315.006805061,
347312.43313307303,5810315.006805061,
347182.43313307303,5810305.006805061,
347192.43313307303,5810305.006805061,
347202.43313307303,5810305.006805061,
347212.43313307303,5810305.006805061,
347222.43313307303,5810305.006805061,
347232.43313307303,5810305.006805061,
347242.43313307303,5810305.006805061,
347252.43313307303,5810305.006805061,
347262.43313307303,5810305.006805061,
347272.43313307303,5810305.006805061,
347282.43313307303,5810305.006805061,
347292.43313307303,5810305.006805061,
347302.43313307303,5810305.006805061,
347312.43313307303,5810305.006805061,
347182.43313307303,5810295.006805061,
347192.43313307303,5810295.006805061,
347202.43313307303,5810295.006805061,
347212.43313307303,5810295.006805061,
347222.43313307303,5810295.006805061,
347232.43313307303,5810295.006805061,
347242.43313307303,5810295.006805061,
347252.43313307303,5810295.006805061,
347262.43313307303,5810295.006805061,
347272.43313307303,5810295.006805061,
347282.43313307303,5810295.006805061,
347292.43313307303,5810295.006805061,
347302.43313307303,5810295.006805061,
347182.43313307303,5810285.006805061,
347192.43313307303,5810285.006805061,
347202.43313307303,5810285.006805061,
